temperature,n,parse_failures,parse_fail_pct,all_zero_pct,mean_El-ph,std_El-ph,mean_Bipolaron,std_Bipolaron,mean_AFM,std_AFM,mean_FM,std_FM,mean_CDW,std_CDW,mean_Nematic,std_Nematic,mean_Plasmon,std_Plasmon,mean_Correlation,std_Correlation,mean_Spin liquid,std_Spin liquid
0.0,50,0,0.0,60.0,0.42,1.162,0.06,0.424,0.5,1.329,0.3,1.093,0.4,1.245,0.1,0.707,0.0,0.0,0.16,0.65,0.06,0.424
0.3,50,0,0.0,56.0,0.36,1.102,0.1,0.707,0.62,1.524,0.34,1.222,0.4,1.245,0.1,0.707,0.0,0.0,0.2,0.7,0.06,0.424
0.5,50,0,0.0,56.0,0.46,1.249,0.06,0.424,0.62,1.413,0.32,1.133,0.38,1.244,0.08,0.566,0.0,0.0,0.24,0.744,0.06,0.424
0.7,50,0,0.0,54.0,0.38,1.176,0.1,0.707,0.68,1.558,0.42,1.326,0.42,1.311,0.08,0.566,0.0,0.0,0.2,0.7,0.06,0.424
1.0,50,0,0.0,56.0,0.4,1.161,0.1,0.707,0.56,1.312,0.32,1.096,0.4,1.245,0.08,0.566,0.0,0.0,0.22,0.708,0.1,0.707
