source,target
pub.1060778200,pub.1060775199
pub.1060778200,pub.1057755341
pub.1060777896,pub.1060775947
pub.1060777896,pub.1059084234
pub.1060777896,pub.1060437772
pub.1060777896,pub.1008502128
pub.1060777896,pub.1060443223
pub.1060777015,pub.1060776058
pub.1060777015,pub.1060592608
pub.1060777015,pub.1060437772
pub.1060776249,pub.1060437772
pub.1060776249,pub.1060443223
pub.1060776249,pub.1008502128
pub.1060776249,pub.1060775873
pub.1060776249,pub.1060442900
pub.1060776249,pub.1060592608
pub.1060776058,pub.1008502128
pub.1060776058,pub.1060437772
pub.1060776058,pub.1060424888
pub.1060776058,pub.1060572171
pub.1060775947,pub.1060442900
pub.1060775947,pub.1060437772
pub.1060775947,pub.1060443223
pub.1060775947,pub.1060774194
pub.1060775873,pub.1060437772
pub.1060775873,pub.1060442900
pub.1060775199,pub.1060421237
pub.1060774194,pub.1060442900
pub.1060774194,pub.1060437772
pub.1060773159,pub.1060424888
pub.1060773159,pub.1060437772
pub.1060773159,pub.1039060951
pub.1060773159,pub.1060426238
pub.1060772384,pub.1060771511
pub.1060772384,pub.1060437772
pub.1060772384,pub.1060771512
pub.1060771677,pub.1060420047
pub.1060771677,pub.1039060951
pub.1060771558,pub.1060771512
pub.1060771558,pub.1060437772
pub.1060771512,pub.1060437562
pub.1060771512,pub.1060437772
pub.1060771511,pub.1060437562
pub.1060771511,pub.1060464013
pub.1060771511,pub.1060437772
pub.1060684350,pub.1060682714
pub.1060684350,pub.1021709972
pub.1060682714,pub.1021709972
pub.1060644176,pub.1008502128
pub.1060644176,pub.1060428458
pub.1060644176,pub.1039060951
pub.1060644176,pub.1031596324
pub.1060644176,pub.1060437772
pub.1060644176,pub.1060427561
pub.1060644041,pub.1060437772
pub.1060644041,pub.1060777015
pub.1060644041,pub.1060592608
pub.1060644041,pub.1060572316
pub.1060644041,pub.1060772384
pub.1060644041,pub.1013194274
pub.1060644041,pub.1039060951
pub.1060644041,pub.1060535251
pub.1060643564,pub.1060428471
pub.1060643564,pub.1007104564
pub.1060643564,pub.1041195616
pub.1060643564,pub.1011161204
pub.1060629323,pub.1060437772
pub.1060629323,pub.1060776249
pub.1060629323,pub.1060775873
pub.1060629323,pub.1060572316
pub.1060629323,pub.1060550584
pub.1060629323,pub.1060442900
pub.1060629323,pub.1060572317
pub.1060629323,pub.1060592608
pub.1060629205,pub.1060421007
pub.1060629205,pub.1060437772
pub.1060629205,pub.1060430065
pub.1060629205,pub.1060526197
pub.1060629063,pub.1060422527
pub.1060628906,pub.1060434677
pub.1060628906,pub.1060432810
pub.1060628906,pub.1060592608
pub.1060628906,pub.1060434716
pub.1060628906,pub.1060572316
pub.1060628906,pub.1060776058
pub.1060610490,pub.1048764817
pub.1060609974,pub.1039060951
pub.1060609974,pub.1060437772
pub.1060592608,pub.1060437772
pub.1060592608,pub.1008502128
pub.1060592488,pub.1029609788
pub.1060592488,pub.1039060951
pub.1060592488,pub.1016604408
pub.1060592488,pub.1060427483
pub.1060592488,pub.1016890272
pub.1060592445,pub.1060429406
pub.1060592445,pub.1039060951
pub.1060592445,pub.1060464013
pub.1060572317,pub.1013940018
pub.1060572317,pub.1060774194
pub.1060572317,pub.1060572316
pub.1060572316,pub.1060442900
pub.1060572316,pub.1060774194
pub.1060572316,pub.1060437772
pub.1060572316,pub.1060773159
pub.1060572316,pub.1013940018
pub.1060572312,pub.1060433535
pub.1060572171,pub.1060432810
pub.1060572171,pub.1060434716
pub.1060572171,pub.1060535553
pub.1060572171,pub.1060434677
pub.1060572171,pub.1060437772
pub.1060572057,pub.1060773125
pub.1060572057,pub.1060535251
pub.1060550584,pub.1060442900
pub.1060550584,pub.1039060951
pub.1060550584,pub.1060437772
pub.1060550584,pub.1060433362
pub.1060535553,pub.1060426320
pub.1060535553,pub.1060423640
pub.1060535553,pub.1060432810
pub.1060535553,pub.1060434677
pub.1060535377,pub.1060427483
pub.1060535377,pub.1060771511
pub.1060535251,pub.1060422527
pub.1060535251,pub.1060435180
pub.1060535251,pub.1039060951
pub.1060535251,pub.1060443223
pub.1060535251,pub.1060773125
pub.1060535251,pub.1060773159
pub.1060535251,pub.1060437772
pub.1060535251,pub.1060439067
pub.1060535031,pub.1060437562
pub.1060535031,pub.1060771512
pub.1060535031,pub.1060771558
pub.1060535031,pub.1029609788
pub.1060535031,pub.1060771511
pub.1060535031,pub.1060437772
pub.1060533822,pub.1058959422
pub.1060533510,pub.1060528333
pub.1060533510,pub.1060524636
pub.1060533510,pub.1060521823
pub.1060533510,pub.1039060951
pub.1060533503,pub.1060521131
pub.1060533503,pub.1049401911
pub.1060533503,pub.1060527992
pub.1060533503,pub.1033624506
pub.1060533503,pub.1063104022
pub.1060533503,pub.1060437772
pub.1060533364,pub.1060529159
pub.1060533364,pub.1060531231
pub.1060532972,pub.1060784329
pub.1060532972,pub.1057934418
pub.1060532972,pub.1060787673
pub.1060531540,pub.1060520605
pub.1060531540,pub.1062178856
pub.1060531540,pub.1060437772
pub.1060531540,pub.1060785303
pub.1060531540,pub.1060778200
pub.1060531539,pub.1060422527
pub.1060531539,pub.1060420507
pub.1060531539,pub.1016604408
pub.1060531539,pub.1060785737
pub.1060531539,pub.1060528591
pub.1060531539,pub.1051834348
pub.1060531539,pub.1060786882
pub.1060531539,pub.1060785736
pub.1060531539,pub.1021709972
pub.1060531539,pub.1060421010
pub.1060531539,pub.1060434220
pub.1060531539,pub.1060423587
pub.1060531474,pub.1060784329
pub.1060531395,pub.1060529541
pub.1060531395,pub.1060428471
pub.1060531395,pub.1060528356
pub.1060531395,pub.1060529213
pub.1060531395,pub.1052593418
pub.1060531395,pub.1060521421
pub.1060531395,pub.1060521573
pub.1060531395,pub.1060526694
pub.1060531395,pub.1060785272
pub.1060531365,pub.1043891249
pub.1060531022,pub.1060524682
pub.1060531022,pub.1060783853
pub.1060531022,pub.1060424888
pub.1060531022,pub.1060428605
pub.1060531022,pub.1060784109
pub.1060531022,pub.1060520605
pub.1060531022,pub.1029609788
pub.1060531022,pub.1060528593
pub.1060531022,pub.1060783097
pub.1060531022,pub.1060433362
pub.1060531022,pub.1060782521
pub.1060531022,pub.1060437772
pub.1060531022,pub.1060525285
pub.1060531022,pub.1060527593
